ID,Text,Comment
BeaverBuddies.Colony.Overview.GoTo,"Go to",""
BeaverBuddies.Colony.Overview.With,"With {0}",""
BeaverBuddies.Colony.Overview.Idle,"No exchange.",""
BeaverBuddies.Colony.Overview.NotTrading,"The other half needs a neighbouring colony's roads.",""
BeaverBuddies.Colony.Overview.YouOffered,"You offered {0} for {1}; waiting for an answer.",""
BeaverBuddies.Colony.Overview.TheyOffer,"They offer {1} for {0}: go there to answer.",""
BeaverBuddies.Colony.Overview.Running,"{0} for {1},",""
BeaverBuddies.Colony.Overview.Progress,"Your side: {0}; theirs: {1}.",""
BeaverBuddies.Colony.Overview.SideReady,"ready",""
BeaverBuddies.Colony.Overview.SideNotReady,"not ready",""
BeaverBuddies.Colony.Overview.CancelAsked,"A colony asked to end it.",""
BeaverBuddies.Colony.Overview.Colonies,"Colonies",""
BeaverBuddies.Colony.Overview.You,"(you)",""
BeaverBuddies.Colony.Overview.NoColony,"No colony yet.",""
BeaverBuddies.Colony.Overview.Colony,"{0} beavers and bots, {1}",""
BeaverBuddies.Colony.Overview.Dead,"no beavers left: handed to a neighbour within a day",""
BeaverBuddies.Colony.Overview.Playing,"playing",""
BeaverBuddies.Colony.Overview.Away,"player away (missed {0} days of hosted play)",""
BeaverBuddies.Colony.Overview.AwayUnknown,"player away",""
BeaverBuddies.Colony.Overview.HandTo,"Hand to {0}",""
BeaverBuddies.Colony.Overview.Hint,"Drag the title to move this window. Ctrl+T or Esc closes it.",""
BeaverBuddies.Colony.Overview.ReportTooltip,"Writes a diagnostics report for a bug report and copies it to the clipboard.",""
BeaverBuddies.Colony.Trade.Notice.OfferFailed,"Your offer was not made: an exchange is already open at that Trading Post, or the half is not yours.",""
BeaverBuddies.Colony.Trade.Notice.AcceptFailed,"The offer changed or was withdrawn before your answer arrived; nothing was accepted.",""
BeaverBuddies.KeyBindings.GoHome,"Home: back to your colony",""
BeaverBuddies.Panel.LabelJoining,"Joining",""
BeaverBuddies.Panel.JoiningOpen,"open: unpausing, or any change, closes it",""
BeaverBuddies.Panel.RowTooltip,"Click to take your camera to {0}.",""
BeaverBuddies.Panel.RowYouTooltip,"Click to go back to your colony (also the Home key).",""
BeaverBuddies.Panel.PlayerNotOnMap,"{0}'s cursor is not on the map right now.",""
BeaverBuddies.Colony.Start.Prompt,"Players can still join while the game waits at its start. What you just did would start the game, and nobody can join after that. Start now?",""
BeaverBuddies.Colony.Start.Confirm,"Start the game",""
BeaverBuddies.Colony.Start.Cancel,"Keep waiting",""
BeaverBuddies.Colony.Start.Kept,"Nothing was changed: players can still join. Unpause, or change anything, once everyone is in.",""
BeaverBuddies.Colony.Handover.Tomorrow,"{0} has missed {1} days of play: unless they are in the game tomorrow, their colony is handed to the nearest colony.",""
BeaverBuddies.Colony.Steward.YouWereAsked,"You were asked to look after {0}. Open the trading window (Ctrl+T) and press Run this colony to act as it.",""
BeaverBuddies.Colony.Steward.LooksAfterYours,"{0} now looks after your colony too. Take it back any time from the trading window (Ctrl+T).",""
BeaverBuddies.Colony.Steward.YouNoLonger,"You no longer look after {0}.",""
BeaverBuddies.Colony.Steward.YoursAlone,"Your colony is yours alone again: {0} no longer looks after it.",""
BeaverBuddies.Colony.Steward.BackToYours,"Your actions count as your own colony's again.",""
BeaverBuddies.Colony.Steward.NowRunning,"You are now running {0}: your actions, toolbar and top bar are that colony's until you switch back (Ctrl+T).",""
BeaverBuddies.Colony.Overview.YouRunning,"(you are running it)",""
BeaverBuddies.Colony.Overview.AwayOf,"player away (missed {0} of {1} days)",""
BeaverBuddies.Colony.Overview.AwayNoLimit,"player away (missed {0} days; the host hands no colony over for absence)",""
BeaverBuddies.Colony.Overview.SupplyDays,"{0} ({1} days)",""
BeaverBuddies.Colony.Overview.SupplyNoDays,"{0}",""
BeaverBuddies.Colony.Overview.SuppliesTooltip,"Food and water in this colony's districts, and how many days they last at yesterday's use.",""
BeaverBuddies.Colony.Overview.LetLookAfter,"Let {0} look after it",""
BeaverBuddies.Colony.Overview.TakeBack,"Take it back",""
BeaverBuddies.Colony.Overview.BackToYours,"Back to your colony",""
BeaverBuddies.Colony.Overview.RunColony,"Run this colony",""
BeaverBuddies.Colony.Overview.EndStewardship,"End stewardship",""
BeaverBuddies.Colony.Overview.YouLookAfter,"You look after this colony.",""
BeaverBuddies.Colony.Overview.LookedAfterBy,"Looked after by {0}.",""
BeaverBuddies.Colony.Overview.RunBy,"{0} is running it now.",""
BeaverBuddies.Colony.Overview.YouAreRunning,"You are running {0} now.",""
BeaverBuddies.Colony.Overview.LookingFor,"Looking for:",""
BeaverBuddies.Colony.Overview.LookingForTooltip,"Up to three things your colony would like to receive. Other players see them here and in the goods grid when they choose what to give you.",""
BeaverBuddies.Colony.Overview.AddWishTooltip,"Add something your colony is looking for.",""
BeaverBuddies.Colony.Overview.ClearWishes,"Clear",""
BeaverBuddies.Colony.Overview.WishTooltip,"{0}. Click to choose something else.",""
BeaverBuddies.Colony.Overview.PickWish,"What your colony is looking for",""
BeaverBuddies.Colony.Trade.TheyWant,"{0} is looking for:",""
BeaverBuddies.Colony.Trade.TheyWantTooltip,"What the other colony has said it would like to receive (set in the trading window, Ctrl+T).",""
BeaverBuddies.Colony.Trade.OfferAgain,"Offer again",""
BeaverBuddies.Colony.Trade.OfferAgainTooltip,"Puts the last exchange's terms back into the form.",""
BeaverBuddies.Colony.Trade.LastTerms,"Last exchange here: {0} for {1}.",""
BeaverBuddies.Colony.Trade.KeepCaption,"Keep at least",""
BeaverBuddies.Colony.Trade.KeepNote,"of what you give",""
BeaverBuddies.Colony.Trade.KeepTooltip,"A reserve: your side is brought (or paid) only while your colony has at least this much left after the round, so a standing deal never starves you. Each side sets its own; 0 for none.",""
BeaverBuddies.Colony.Trade.KeepBoxTooltip,"0 to {0}.",""
BeaverBuddies.Colony.Trade.ErrorKeep,"Keep at least goes from 0 to {0}.",""
BeaverBuddies.Colony.Trade.SummaryKeep,"You keep at least {0} {1}.",""
BeaverBuddies.Colony.Trade.DeclineTooltip,"Declines the offer. Its terms stay in your form, so you can change a number and offer back.",""
BeaverBuddies.Colony.Trade.WithdrawTooltip,"Takes the offer back. Its terms stay in your form.",""
BeaverBuddies.Colony.Trade.StatusYourReserve,"Your colony keeps {0} {1} back: your side waits until it has more.",""
BeaverBuddies.Colony.Trade.StatusTheirReserve,"Your side is in. {0}'s colony keeps a reserve: waiting until it can spare the round.",""
BeaverBuddies.Colony.Trade.LedgerRowTooltip,"Click to put this round's terms in your offer form.",""
BeaverBuddies.Colony.Trade.WantedByThem,"{0} is looking for this.",""
BeaverBuddies.Colony.Trade.WantedByYou,"Your colony is looking for this.",""
BeaverBuddies.Lobby.Header.Host,"Co-op Game",""
BeaverBuddies.Lobby.Header.Guest,"{0}'s Game",""
BeaverBuddies.Lobby.Players,"Players ({0})",""
BeaverBuddies.Lobby.Tag.Host,"Host",""
BeaverBuddies.Lobby.Tag.HostColony,"Host · Colony {0}",""
BeaverBuddies.Lobby.Tag.Colony,"Colony {0}",""
BeaverBuddies.Lobby.Tag.Helper,"Helper",""
BeaverBuddies.Lobby.You,"(you)",""
BeaverBuddies.Lobby.Ready,"Ready",""
BeaverBuddies.Lobby.NotReady,"Not ready",""
BeaverBuddies.Lobby.Joining,"Joining...",""
BeaverBuddies.Lobby.Button.Ready,"I'm ready",""
BeaverBuddies.Lobby.Button.Unready,"Not ready",""
BeaverBuddies.Lobby.Button.Leave,"Leave",""
BeaverBuddies.Lobby.DirectIp,"Friends without Steam join by IP, port {0}.",""
BeaverBuddies.Lobby.Remove.Tooltip,"Remove from the waiting room",""
BeaverBuddies.Lobby.Status.Empty,"Invite friends, then start the game.",""
BeaverBuddies.Lobby.Status.OneNotReady,"{0} is not ready yet. You can still start.",""
BeaverBuddies.Lobby.Status.OneJoining,"A player is still joining. You can still start.",""
BeaverBuddies.Lobby.Status.SomeNotReady,"{0} players are not ready yet. You can still start.",""
BeaverBuddies.Lobby.Status.AllReady,"Everyone is ready.",""
BeaverBuddies.Lobby.Status.Starting,"Starting...",""
BeaverBuddies.Lobby.Status.GuestNotReady,"Press I'm ready when you are. {0} starts the game.",""
BeaverBuddies.Lobby.Status.GuestReady,"You're ready. Waiting for {0} to start the game...",""
BeaverBuddies.Lobby.Status.CreatingWorld,"{0} is creating the world...",""
BeaverBuddies.Lobby.Status.SendingWorld,"Receiving the world...",""
BeaverBuddies.Lobby.Confirm.Alone,"Nobody has joined yet. Start the game on your own? Nobody can join once it has started, until you save and rehost.",""
BeaverBuddies.Lobby.Confirm.NotReady,"Not everyone is ready ({0}). Start anyway? Everyone in the waiting room comes into the game, ready or not.",""
BeaverBuddies.Lobby.Confirm.Remove,"Remove {0} from the waiting room?",""
BeaverBuddies.Lobby.Confirm.RemoveButton,"Remove",""
BeaverBuddies.Lobby.Confirm.Cancel,"Close the waiting room? Everyone in it goes back to the main menu.",""
BeaverBuddies.Lobby.Confirm.Close,"Close",""
BeaverBuddies.Lobby.Confirm.Leave,"Leave {0}'s waiting room?",""
BeaverBuddies.Lobby.Confirm.Stay,"Stay",""
BeaverBuddies.Lobby.Confirm.Start,"Start anyway",""
BeaverBuddies.Lobby.Confirm.KeepWaiting,"Keep waiting",""
BeaverBuddies.Lobby.End.Cancelled,"{0} closed the waiting room.",""
BeaverBuddies.Lobby.End.Removed,"{0} removed you from the waiting room.",""
BeaverBuddies.Lobby.End.Failed,"{0} couldn't start the game: {1}",""
BeaverBuddies.Lobby.Watchdog,"{0}'s game hasn't answered for two minutes.",""
BeaverBuddies.Lobby.InGameInvite,"{0} is waiting for you in a co-op waiting room. Return to the main menu, then accept the invite again (or join from there).",""
BeaverBuddies.Lobby.Connecting,"Connecting to {0}...",""
BeaverBuddies.Lobby.ConnectingAnyone,"Connecting...",""
BeaverBuddies.Lobby.CouldNotOpen,"The waiting room could not start. Player.log says why.",""
BeaverBuddies.Lobby.Failed,"Couldn't start the co-op game: {0}. You can play this world on your own, or save it and use Host co-op game.",""
BeaverBuddies.Lobby.Tip.Creating,"Creating the world for your co-op game...",""
BeaverBuddies.Lobby.Tip.Loading,"Loading your co-op game...",""
BeaverBuddies.Lobby.Tip.GuestLoading,"Loading {0}'s co-op game...",""
BeaverBuddies.Panel.Loading,"{0} (loading)",""
BeaverBuddies.Lobby.SaveLine,"{0} · {1}",""
